Timestamp,Transaction ID,Sender Account,Total Sent Amount,Receiver Account,Receiver Amount,Token Symbol,Memo,Fee (HBAR)
2024-12-12T13:00:07.000Z,0.0.7841494-1734008395-514941705,0.0.7835661,3029.23663,0.0.7841494,3029.23663,KBL,[KABILA] HSUITE DEX - Swap HBAR to KBL - 1 HBAR = 9.7532 KBL,0.00777879
2024-12-12T09:28:07.000Z,0.0.7840246-1733995668-930660711,0.0.7835651,43831.566455,0.0.7840246,43831.566455,KBL,,0
2024-12-12T09:15:03.000Z,0.0.7840246-1733994888-670894568,0.0.7835651,976.866664,0.0.7840246,976.866664,KBL,,0
2024-12-12T04:33:26.000Z,0.0.4381475-1733977991-172445554,0.0.7836733,3.184175,0.0.7837568,3.184175,KBL,,0
2024-12-12T02:51:29.000Z,0.0.4507642-1733971872-697178807,0.0.7835651,212.184114,0.0.7837568,212.184114,KBL,,0
2024-12-12T02:36:10.000Z,0.0.4507642-1733970956-952361574,0.0.4507642,565.353226,0.0.7837568,565.353226,KBL,,0
2024-12-12T12:01:38.000Z,0.0.7836837-1734004883-156608005,0.0.4817915,18834.810888,0.0.7836837,18834.810888,KBL,,0
2024-12-12T11:54:53.000Z,0.0.7836837-1734004481-110605803,0.0.4817915,25.422944,0.0.7836837,25.422944,KBL,,0
2024-12-12T05:09:42.000Z,0.0.616912-1733980167-471979945,0.0.616912,0.034758,0.0.7836733,0.034758,KBL,,0
2024-12-12T02:14:20.000Z,0.0.7648495-1733969622-742676405,0.0.7835651,750.329496,0.0.7836733,750.329496,KBL,,0
2024-12-12T00:29:41.000Z,0.0.7756131-1733963369-952394181,0.0.4817915,5.982,0.0.7836733,5.982,KBL,,0
2024-12-11T23:54:52.000Z,0.0.7756131-1733961282-781332977,0.0.7835651,246.332733,0.0.7836733,246.332733,KBL,,0
2024-12-11T23:43:37.000Z,0.0.4822941-1733960602-898084425,0.0.4822941,6627.220839,0.0.7836733,6627.220839,KBL,,0
2024-12-12T10:16:19.000Z,0.0.7836473-1733998562-916653684,0.0.7835651,528.850831,0.0.7836473,528.850831,KBL,,0
2024-12-12T09:46:02.000Z,0.0.7836473-1733996740-811869145,0.0.7835651,337.681203,0.0.7836473,337.681203,KBL,,0
2024-12-12T08:46:11.000Z,0.0.7836403-1733993154-386414003,0.0.7835651,12132.124054,0.0.7836403,12132.124054,KBL,,0
2024-12-12T08:41:37.000Z,0.0.7836403-1733992879-644095985,0.0.7835651,106.367671,0.0.7836403,106.367671,KBL,,0
2024-12-11T21:42:51.000Z,0.0.7836262-1733953361-493006293,0.0.7835661,1501.860199,0.0.7836262,1501.860199,KBL,[KABILA] HSUITE DEX - Swap HBAR to KBL - 1 HBAR = 10.0425 KBL,0.00751574
2024-12-11T21:04:44.000Z,0.0.7836126-1733951064-625871274,0.0.7835651,4115.967697,0.0.7836126,4115.967697,KBL,,0
2024-12-11T21:03:18.000Z,0.0.7836126-1733950977-104727143,0.0.7835651,4171.814135,0.0.7836126,4171.814135,KBL,,0
2024-12-11T22:25:01.000Z,0.0.7836079-1733955888-824825118,0.0.4817915,2569.660669,0.0.7836079,2569.660669,KBL,,0
2024-12-11T22:03:23.000Z,0.0.7836044-1733954567-385654672,0.0.7835651,3749.874156,0.0.7836044,3749.874156,KBL,,0
2024-12-12T13:02:23.000Z,0.0.7836018-1734008529-216479767,0.0.7835661,6042.960564,0.0.7836018,6042.960564,KBL,[KABILA] HSUITE DEX - Swap HBAR to KBL - 1 HBAR = 9.7145 KBL,0.00777879
2024-12-11T20:42:35.000Z,0.0.7836018-1733949743-451589664,0.0.4817915,4316.452129,0.0.7836018,4316.452129,KBL,,0
2024-12-11T20:38:50.000Z,0.0.7836018-1733949519-882105308,0.0.4817915,17227.471248,0.0.7836018,17227.471248,KBL,,0
2024-12-11T20:18:27.000Z,0.0.7836016-1733948296-501265846,0.0.4817915,64033.733313,0.0.7836016,64033.733313,KBL,,0
2024-12-12T12:49:25.000Z,0.0.4323044-1734007736-348526121,0.0.4323044,2.516206,0.0.7835661,2.516206,KBL,Hsuite DEX - Join HSUITE/KBL,0.03319412
2024-12-12T10:02:50.000Z,0.0.4367595-1733997745-303712484,0.0.4367595,196.797782,0.0.7835661,196.797782,KBL,Hsuite DEX - Join HSUITE/KBL,0.03184464
2024-12-12T05:06:44.000Z,0.0.5779439-1733979966-772718968,0.0.5779439,4556.165781,0.0.7835661,4556.165781,KBL,Hsuite DEX - Join HSUITE/KBL,0.03333185
2024-12-12T02:38:49.000Z,0.0.5779439-1733971094-387633902,0.0.5779439,3702.043169,0.0.7835661,3702.043169,KBL,Hsuite DEX - Join HSUITE/KBL,0.03383618
2024-12-12T01:32:56.000Z,0.0.542474-1733967162-035751271,0.0.542474,10000,0.0.7835661,10000,KBL,HSUITE DEX - Swap KBL to HBAR - 1 KBL = 0.0858 HBAR,0.0074785
2024-12-12T01:29:27.000Z,0.0.4713148-1733966951-396834185,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 16.5917 HSUITE,0.00769593
2024-12-12T01:29:15.000Z,0.0.1008120-1733966941-100715689,0.0.1008120,6000,0.0.7835661,6000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 16.6911 HSUITE,0.00747321
2024-12-12T01:29:07.000Z,0.0.4713148-1733966928-425359217,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 16.7916 HSUITE,0.00747321
2024-12-12T01:28:49.000Z,0.0.4713148-1733966912-715554141,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 16.9132 HSUITE,0.00747321
2024-12-12T01:27:16.000Z,0.0.4713148-1733966817-753936400,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.0362 HSUITE,0.00747321
2024-12-12T01:26:52.000Z,0.0.4713148-1733966795-211521614,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.1606 HSUITE,0.00747321
2024-12-12T01:26:29.000Z,0.0.1008120-1733966773-403171115,0.0.1008120,5900,0.0.7835661,5900,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.2645 HSUITE,0.00747321
2024-12-12T01:26:12.000Z,0.0.4713148-1733966757-956646037,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.3694 HSUITE,0.00747321
2024-12-12T01:25:42.000Z,0.0.1008120-1733966728-864851993,0.0.1008120,5850,0.0.7835661,5850,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.4749 HSUITE,0.00747321
2024-12-12T01:25:26.000Z,0.0.4713148-1733966713-204203491,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.5814 HSUITE,0.00747321
2024-12-12T01:23:25.000Z,0.0.4713148-1733966588-194048237,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.7118 HSUITE,0.00747321
2024-12-12T01:22:51.000Z,0.0.4713148-1733966554-496334907,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.8437 HSUITE,0.00747321
2024-12-12T01:22:40.000Z,0.0.4713148-1733966544-236282209,0.0.4713148,9000,0.0.7835661,9000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 17.9770 HSUITE,0.00747321
2024-12-12T01:22:31.000Z,0.0.1008120-1733966537-176059562,0.0.1008120,5700,0.0.7835661,5700,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.0870 HSUITE,0.00747321
2024-12-12T01:20:16.000Z,0.0.4713148-1733966396-587506103,0.0.4713148,5000,0.0.7835661,5000,KBL,HSUITE DEX - Swap KBL to HSUITE - 1 KBL = 18.1677 HSUITE,0.00747321
