Account,Balance
0.0.7839455,70
0.0.7788090,1730
0.0.7782129,0
0.0.7777926,0
0.0.7742625,6
0.0.7725533,1510
0.0.7702044,58
0.0.7695667,3000
0.0.7687902,300
0.0.7687896,0
0.0.7639149,0
0.0.7599730,0
0.0.7586510,4645
0.0.7568536,0
0.0.7562322,7302
0.0.7562300,0
0.0.7561916,29344
0.0.7552396,161
0.0.7549680,0
0.0.7538504,1450
0.0.7475470,0
0.0.7348608,255
0.0.7337874,0
0.0.7314893,0
0.0.7303420,10
0.0.7303257,0
0.0.7299468,6
0.0.7299329,0
0.0.7297961,2015
0.0.7290800,0
0.0.7287982,17628
0.0.7284357,418
0.0.7275652,13075
0.0.7256798,0
0.0.7255020,0
0.0.7235003,0
0.0.7214175,1817
0.0.7211630,0
0.0.7199560,143
0.0.7188175,0
0.0.7186286,75298
0.0.7183274,0
0.0.7180935,0
0.0.7179147,50
0.0.7176283,0
0.0.7166414,280
0.0.7162514,10
0.0.7162506,25
0.0.7127931,0
0.0.7103791,0
0.0.7071702,16367
0.0.7065282,650
0.0.7060192,0
0.0.7034375,1000
0.0.7033987,10000
0.0.7019985,0
0.0.7017957,0
0.0.7008230,20
0.0.6950292,0
0.0.6950287,73140
0.0.6936820,10854
0.0.6929819,0
0.0.6859843,0
0.0.6827573,520
0.0.6826633,200
0.0.6797555,30444
0.0.6778922,12
0.0.6769246,23534
0.0.6764534,0
0.0.6748027,0
0.0.6735827,8
0.0.6734780,0
0.0.6711030,8400
0.0.6648309,82599
0.0.6597602,0
0.0.6593244,844808
0.0.6592676,7300000
0.0.6588728,0
0.0.6574932,700
0.0.6507783,0
0.0.6507533,2255
0.0.6482470,124
0.0.6479898,300000
0.0.6478995,658
0.0.6477906,130
0.0.6473953,3000
0.0.6467017,0
0.0.6444695,0
0.0.6440786,0
0.0.6438680,0
0.0.6431333,300
0.0.6416166,21146
0.0.6414895,260000
0.0.6394800,2423
0.0.6369704,0
0.0.6340356,0
0.0.6334489,848
0.0.6334464,100
0.0.6334427,338
0.0.6291013,0
0.0.6271047,800
0.0.6254569,0
0.0.6237955,0
0.0.6194066,0
0.0.6150798,1047
0.0.6144865,0
0.0.6134187,0
0.0.6134180,0
0.0.6118916,0
0.0.6104469,0
0.0.6102216,0
0.0.6097921,0
0.0.6097516,0
0.0.6094374,0
0.0.6092621,1295
0.0.6075972,4552
0.0.6065802,0
0.0.6062498,1300
0.0.6053391,0
0.0.6051805,830
0.0.6048813,0
0.0.6044918,0
0.0.6043274,231220
0.0.6037468,0
0.0.6014233,0
0.0.6013104,1612
0.0.5970807,0
0.0.5958975,1088
0.0.5953823,152
0.0.5945421,0
0.0.5943946,800
0.0.5810159,0
0.0.5804100,0
0.0.5801158,3330
0.0.5795803,0
0.0.5790223,0
0.0.5737958,0
0.0.5725835,0
0.0.5725150,60
0.0.5724654,930
0.0.5723171,0
0.0.5715846,972
0.0.5708987,153
0.0.5704103,930
0.0.5702882,0
0.0.5686906,4856
0.0.5680048,1201
0.0.5679138,7262
0.0.5677731,3311
0.0.5646900,0
0.0.5585140,0
0.0.5578274,305
0.0.5554131,21
0.0.5549704,400
0.0.5547856,150
0.0.5547640,0
0.0.5472365,0
0.0.5418436,0
0.0.5407864,0
0.0.5378059,0
0.0.5339685,0
0.0.5334866,0
0.0.5327933,33
0.0.5293942,0
0.0.5281628,0
0.0.5265955,0
0.0.5255642,0
0.0.5250765,10178
